,SID,SCAPN,SCSitus_NumNam,Building_age,Cap_rate_pro_forma,Cap_rate_actual,Land_value,Total_value,Assessed_yr,Floor_area_ratio,Num_floors,Price_per_sqft,Land_price_per_AC,Sale_date,Sale_price,Listing_broker_company
10780,S10781,GA Cobb 17-0651-0-005-0,GA Cobb 861 Franklin Rd,46.0,8.94,8.54,2115270.0,3000000.0,2012.0,0.271370458,2.0,26.56,314015.42,12/17/13,7900000.0,Marcus & Millichap
10781,S10782,GA Muscogee 062-036-004,GA Muscogee 2001 Torch Hill Rd,67.0,,5.4,595500.0,1050600.0,2014.0,1.182346891,1.0,20.86,1074178.61,12/15/15,7840000.0,Cushman & Wakefield
10782,S10783,GA Clayton 13-0107b-00a-002,GA Clayton 5758 Highway 85,48.0,11.13,,1890000.0,3000000.0,,0.289667087,2.0,18.76,236704.58,11/20/14,7700000.0,Greystone Brown Real Estate Advisors
10783,S10784,GA DeKalb 15-136-01-005,GA DeKalb 2892 Eastwyck Cir,55.0,,,1551700.0,6151700.0,2013.0,0.291055334,2.0,14.61,185185.19,1/6/15,7500000.0,
10784,S10785,GA DeKalb 18-312-02-001,GA DeKalb 2917 Dekalb Dr,47.0,,8.0,2824760.0,4674800.0,2011.0,0.290692661,3.0,19.12,242066.06,8/27/12,7475000.0,"Love Properties, Inc."
10785,S10786,GA Gwinnett 6-214-044,GA Gwinnett 5651 Brook Hollow Pky,46.0,,,,,,0.35190809799999995,2.0,17.84,273494.86,3/21/97,7450000.0,Marcus & Millichap
10786,S10787,GA Fulton 13-0034-0000-104,GA Fulton 4555 Washington Rd,48.0,,,1590500.0,15064700.0,2004.0,0.383605863,3.0,15.61,260915.87,10/21/04,7350000.0,Cushman & Wakefield
10787,S10788,GA DeKalb 15-077-01-003,GA DeKalb 26 Bouldercrest Ln,46.0,,,1873000.0,6720200.0,,0.241040537,3.0,19.26,202223.42,6/24/16,7227000.0,KW Commercial
10788,S10789,GA Clayton 13-142C-00B-001,GA Clayton 330 Arrowhead Blvd,49.0,,,0.0,5752000.0,2008.0,0.360680289,2.0,12.78,200814.73,9/1/09,7000000.0,
10789,S10790,GA DeKalb 16-006-01-005,GA DeKalb 1000 Hidden Chase,34.0,,12.68,2821600.0,16593200.0,2010.0,0.437146059,3.0,9.46,180219.54,8/1/11,6600000.0,Cushman & Wakefield
10790,S10791,GA Clayton 13-105A-00A-001,GA Clayton 5724 Riverdale Rd,45.0,,,1079000.0,5094500.0,2009.0,0.39793932,2.0,15.79,273668.08,3/2/10,6500000.0,
10791,S10792,GA Henry 074--01-024-000,GA Henry 200 Willow Ln,33.0,,9.03,4953000.0,6808800.0,2012.0,0.001069975,1.0,1321.2,61578.84,10/14/13,6100000.0,MHRE Inc
